1  2,4,5-TP             2600.0  .40     5.0    20.0 0.75      2.500               Silvex                  
213Thiram                670.0  .50     8.0    15.0 0.75     30.000               Thiram                  
214Thistrol               20.0  .95     7.0    14.0 0.75 200000.000               MCPB Sodium Salt        
215Tillam                430.0  .70     4.0    14.0 0.75    100.000               Pebulate                
216Tilt                 1000.0  .70    30.0   110.0 0.75    110.000               Propiconazole           
217Tolban               2240.0  .35     1.0   140.0 0.75      0.100               Profluralin             
218Topsin               1830.0  .40     5.0    10.0 0.75      3.500               Thiophanate-Methyl      
219Tordon                 16.0  .60     8.0    90.0 0.75 200000.000               Picloram                
220Tralomethrin       100000.0  .40     1.0    27.0 0.75      0.001               Tralomethrin            
221Treflan              8000.0  .40     3.0    60.0 0.75      0.300               Trifluralin             
222Tre-Hold              300.0  .40     5.0    10.0 0.75    105.000               NAA Ethyl Ester         
223Tupersan              420.0  .70    30.0    90.0 0.75     18.000               Siduron                 
224Turflon               780.0  .70    15.0    46.0 0.75     23.000               Triclopyr Ester         
225Velpar                 54.0  .90    30.0    90.0 0.75   3300.000               Hexazinone              
226Vendex               2300.0  .20    30.0    90.0 0.75      0.013               Fenbutatin Oxide        
227Vernam                260.0  .80     2.0    12.0 0.75    108.000               Vernolate               
228Volck oils           1000.0  .50     2.0    10.0 0.75    100.000               Petroleum oil           
229Vydate                 25.0  .95     4.0     4.0 0.75 282000.000               Oxamyl                  
230Weedar                 20.0  .45     9.0    10.0 0.75 796000.000               2,4-D amine             
231Weed-B-Gon             80.0  .45    10.0    24.0 0.75 500000.000               2,4,5-T Amine           
232Wedone               1000.0  .45     9.0    10.0 0.75     50.000               Dichlorprop Ester       
233Zolone               1800.0  .65     8.0    21.0 0.75      3.000               Phosalone               
